,url,location,bed,bath,area,price
11163,https://www.rumah.com/listing-properti/dijual-rumah-impian-dengan-taman-depan-dan-belakang-di-cirendeu-luas-260-oleh-inung-21574545,"cirendeu, Ciputat Timur, Tangerang Selatan, Banten",4.0,3.0,350 m²,"3,7 M"
26846,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-oleh-vivi-siregar-21425493,"Bintaro Jaya Sektor 9, Bintaro, Tangerang Selatan, Banten",3.0,3.0,250 m²,3 M
15251,https://www.rumah.com/listing-properti/dijual-jual-rumah-minimalis-siap-huni-strategis-dekat-setu-tangsel-harga-all-in-siap-kpr-dp-ringan-oleh-astried-20494057,"Perumahan Cendana Green Village, Setu, Tangerang Selatan, Banten",2.0,1.0,36 m²,530 jt
5677,https://www.rumah.com/listing-properti/dijual-hunian-bambu-apus-view-termurah-oleh-taofik-muliadi-21715022,"Jl lele bambu APUS View Tangsel, Pamulang, Tangerang Selatan, Banten",3.0,2.0,65 m²,730 jt
29112,https://www.rumah.com/listing-properti/dijual-limited-tinggal-2-unit-saja-cluster-mozart-phase-2-type-9x17-dekat-danau-harmony-di-kawasan-sy-oleh-ivonnie-pauline-21585387,"Medang, Kabupaten Tangerang, Banten, BSD, Tangerang Selatan, Banten",4.0,3.0,196 m²,"5,266728 M"
21349,https://www.rumah.com/listing-properti/dijual-rumah-minimalis-interior-mewah-2-lt-di-villa-bintaro-indah-rn-10400-oleh-ade-muliana-21671065,"Villa Bintaro Indah, Bintaro, Tangerang Selatan, Banten",4.0,3.0,190 m²,"3,25 M"
21255,https://www.rumah.com/listing-properti/dijual-rumah-luas-2056-m2-di-ciputat-oleh-kristin-arno-20438011,"Jln Cendrawasih, Ciputat, Tangerang Selatan, Banten",4.0,4.0,300 m²,12 M
3388,https://www.rumah.com/listing-properti/dijual-rempoa-housing-oleh-eka-20982454,"Jl. Rempoa Permai, Bintaro, Tangerang Selatan, Banten",4.0,6.0,632 m²,"19,5 M"
2652,https://www.rumah.com/listing-properti/dijual-rumah-2-lantai-eminent-cluster-prestigia-bsd-city-oleh-helen-cecilia-21738381,"BSD, Tangerang Selatan, Banten",4.0,3.0,142 m²,85 jt
15341,https://www.rumah.com/listing-properti/dijual-panorama-bali-residence-ciseeng-3-juta-all-in-oleh-rikhe-21729425,"Bintaro, Tangerang Selatan, Banten",2.0,1.0,50 m²,502 jt
10425,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-pamulang-andalusia-green-residence-oleh-latifa-febrianti-21086164,"jl H Rean, Pamulang, Tangerang Selatan, Banten",3.0,2.0,75 m²,990 jt
9468,https://www.rumah.com/listing-properti/dijual-bintaro-jaya-oleh-ambar-21771301,"Mertilang bintaro sektor 9, Bintaro, Tangerang Selatan, Banten",4.0,3.0,400 m²,"5,5 M"
1711,https://www.rumah.com/listing-properti/dijual-komplek-perumahan-bukit-indah-serua-ciputat-oleh-liebert-21713065,"Ciputat, Tangerang Selatan, Banten",3.0,1.0,100 m²,"1,4 M"
1813,https://www.rumah.com/listing-properti/dijual-rumah-dengan-luasan-bangunan-yang-luas-di-hook-dijual-di-sektor-3-bintaro-jaya-oleh-endang-kumalasari-21820207,"Bintaro, Tangerang Selatan, Banten",5.0,3.0,400 m²,"5,5 M"
15293,https://www.rumah.com/listing-properti/dijual-d-lavia-residence-bintaro-5-menit-ke-stasiun-ka-sudimara-dan-tol-oleh-tria-ananda-21729964,"Bintaro, Tangerang Selatan, Banten",3.0,2.0,52 m²,600 jt
23449,https://www.rumah.com/listing-properti/dijual-virginia-village-gading-serpong-oleh-vera-florence-21648255,"Virginia Village Gading Serpong, Gading Serpong, Tangerang Selatan, Banten",1.0,2.0,60 m²,"1,3 M"
6283,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-nusa-loka-bsd-mewah-aman-dan-nyaman-oleh-maily-21643726,"BSD, Tangerang Selatan, Banten",3.0,3.0,100 m²,"2,35 M"
26784,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-di-villa-selecta-ciater-tangerang-selatan-oleh-uthe-21622825,"Villa Selecta Ciater Tangerang Selatan, Serpong, Tangerang Selatan, Banten",5.0,3.0,150 m²,"1,65 M"
25729,https://www.rumah.com/listing-properti/dijual-rumah-dalam-komplek-perumahan-di-rempoa-oleh-euis-yulistiani-20862349,"Ciputat Timur, Tangerang Selatan, Banten",5.0,2.0,276 m²,"3,5 M"
3990,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-di-cluster-serpong-riverside-residence-oleh-wisnu-m-19436757,"BSD, Tangerang Selatan, Banten",3.0,2.0,90 m²,"1,2 M"
7028,https://www.rumah.com/listing-properti/dijual-pondok-ranji-rumah-baru-renov-oleh-miko-hamong-21384984,"Jl Anggrek, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,120 m²,800 jt
21733,https://www.rumah.com/listing-properti/dijual-de-maja-bsd-city-oleh-susy-21402308,"BSD, Tangerang Selatan, Banten",4.0,3.0,270 m²,11 M
16712,https://www.rumah.com/listing-properti/dijual-rumah-lama-villa-melati-mas-cluster-lantana-serpong-tangerang-selatan-oleh-lisa-hafrizal-21202027,"jl lantana blok L5 no 52, Serpong, Tangerang Selatan, Banten",3.0,2.0,135 m²,"1,5 M"
22245,https://www.rumah.com/listing-properti/dijual-di-jual-rumah-hoek-di-cluster-discovery-bintaro-jaya-sek-9-oleh-titin-zae-20190487,"Bintaro, Tangerang Selatan, Banten",5.0,4.0,185 m²,"4,85 M"
14969,https://www.rumah.com/listing-properti/dijual-graha-raya-cluster-carissa-oleh-fufung-21123461,"Cluster Carissa, Serpong Utara, Tangerang Selatan, Banten",3.0,2.0,84 m²,"1,35 M"
3905,https://www.rumah.com/listing-properti/dijual-ciputat-timur-oleh-rubin-tantowie-21742324,"Dcrown Residence, Ciputat Timur, Tangerang Selatan, Banten",3.0,2.0,72 m²,"1,3 M"
15886,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-kebayoran-heights-bintaro-sektor-9-tangerang-selatan-oleh-endang-kumalasari-20666533,"Kebayoran Heights Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten",6.0,4.0,300 m²,"14,5 M"
18644,https://www.rumah.com/listing-properti/dijual-rumah-baru-di-bsd-the-icon-cluster-cosmo-oleh-melissa-juwono-21525045,"BSD, Tangerang Selatan, Banten",5.0,4.0,220 m²,"4,3 M"
17433,https://www.rumah.com/listing-properti/dijual-rumah-cantik-siap-huni-di-delatinos-bsd-oleh-ratih-widowati-20397890,"BSD, Tangerang Selatan, Banten",6.0,3.0,250 m²,"3,85 M"
22761,https://www.rumah.com/listing-properti/dijual-alam-sutera-onyx-oleh-lisa-20046327,"Sutera Onyx, Alam Sutera, Tangerang Selatan, Banten",5.0,5.0,700 m²,"9,4 M"
