bed,bath,area,price,bintaro,ciputat,pamulang,raya,jl,sutera,cluster,SEKTOR,JAYA,SERPONG,LANTAI,DEKAT,MURAH
4.0,4.0,190,3900000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,3.0,350,4800000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,149,2850000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,185,4650000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2.0,80,1800000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,220,4800000000.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,69,1800000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,60,898000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,67,550000000.0,0,0,1,0,0,0,0,0,0,0,0,0,1
5.0,4.0,475,7200000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,200,2500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,3.0,193,4700000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,80,875000000.0,0,0,1,0,0,0,0,0,0,1,0,0,0
3.0,2.0,120,2600000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,200,4500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,4.0,264,3800000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,4.0,600,5900000000.0,1,0,0,0,0,0,0,1,1,0,0,0,1
6.0,5.0,300,3700000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0
7.0,6.0,492,7600000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
4.0,5.0,325,8000000000.0,1,0,0,0,1,0,0,1,0,0,0,0,0
3.0,2.0,150,3700000000.0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.0,3.0,250,3700000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,33,1034900000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
3.0,2.0,67,1886500000.0,0,0,0,0,0,0,1,0,0,0,0,0,0
4.0,3.0,130,1400000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,7.0,1000,13000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,218,2600000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,74,1400000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,125,1850000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
9.0,10.0,750,9000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,3.0,760,7000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,50,600000000.0,0,0,0,0,1,0,0,0,0,0,1,0,0
5.0,4.0,218,2600000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,68,1700000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,3.0,400,5500000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2.0,125,2400000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,3.0,123,2700000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,3.0,150,1390000000.0,0,1,0,0,0,0,0,0,0,0,1,0,0
4.0,3.0,150,3700000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,150,2900000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,110,1250000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,180,2200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,315,7800000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
6.0,4.0,510,8500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,117,3000000000.0,1,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2.0,92,2004000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,3.0,220,3750000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,75,1100000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,77,2200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,160,4500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,600,14500000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
5.0,5.0,430,3500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,140,1750000000.0,1,0,0,0,0,0,0,0,0,0,0,1,0
4.0,4.0,248,6450000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,200,2950000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,2.0,55,599000000.0,0,0,0,0,0,0,0,0,0,1,1,0,1
5.0,4.0,100,2600000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
2.0,1.0,70,930000000.0,0,0,1,0,0,0,0,0,0,0,1,0,0
3.0,1.0,49,900000000.0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,400,6000000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0
6.0,4.0,800,14000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,208,6355000000.0,0,0,0,0,0,0,1,0,0,1,1,0,0
2.0,2.0,55,1250000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,50,731000000.0,0,0,0,1,1,0,0,0,0,0,0,0,0
4.0,4.0,110,3900000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,118,2380000000.0,0,0,0,0,0,1,0,0,0,0,1,1,0
2.0,1.0,45,470000000.0,0,0,1,1,1,0,0,0,0,0,0,0,0
4.0,2.0,92,1200000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,67,880000000.0,0,0,1,0,1,0,0,0,0,0,0,1,0
4.0,3.0,129,3300000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,78,2044950000.0,0,1,0,1,0,0,0,0,0,0,0,0,0
2.0,1.0,65,1250000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,2.0,55,829000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,2.0,120,1700000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,132,1600000000.0,1,0,0,0,1,0,0,0,0,0,1,1,0
5.0,5.0,167,5000000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
6.0,4.0,460,7500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,194,4375000000.0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,2.0,100,1800000000.0,1,0,0,1,0,0,0,0,0,0,0,0,0
4.0,4.0,260,4950000000.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,69,1300000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,247,6500000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,2.0,82,723000000.0,0,0,0,1,1,0,0,0,0,0,0,0,0
3.0,4.0,120,2500000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,750,10500000000.0,1,0,0,0,1,0,0,0,1,0,0,0,0
4.0,3.0,210,1800000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,3.0,84,1425000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,150,2950000000.0,1,0,0,1,0,0,0,1,1,0,0,0,0
3.0,2.0,184,3600000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.0,5.0,355,11000000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
4.0,4.0,400,8000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,150,4700000000.0,1,0,0,0,0,0,0,1,1,0,0,0,0
3.0,2.0,55,650000000.0,0,0,0,0,1,0,0,0,0,0,0,0,1
4.0,3.0,185,5500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,250,5500000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,7.0,398,11000000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,5.0,285,7800000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
5.0,4.0,152,2289000000.0,0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,36,619240000.0,0,1,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,117,3000000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,60,560000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.0,2.0,55,600009000.0,1,0,0,0,0,0,0,0,0,0,1,1,1
2.0,2.0,63,1766980000.0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,4.0,218,2600000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,150,2700000000.0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,50,675000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,95,2099000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,195,5500000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0,5.0,330,7400000000.0,1,0,0,0,0,0,0,1,0,0,0,0,0
